date,sample count,success,late success,Error Response
Sample1,26573,6998,11443,8132
week 1,24934,6663,12614,5657
week 1,23694,3923,11411,8360
week 1,21165,2528,9971,8666
week 1,12140,4546,4752,2842
week 1,18232,4100,9729,4403
week 1,22170,3726,13074,5370
week 1,21282,5287,11062,4933
week 2,20279,6227,9431,4621
week 2,19983,5875,9586,4522
week 2,18008,5808,8504,3696
week 2,11779,3984,5357,2438
week 2,18768,6486,8112,4170
week 2,22415,6044,11350,5021
week 2,21977,6325,10460,5192
week 3,22927,7309,10687,4931
week 3,25055,5699,13363,5993
week 3,28965,5698,14849,8418
week 3,17314,5994,7692,3628
week 3,28273,8088,13971,6214
week 3,24888,8100,11007,5781
week 3,22654,8188,8952,5514
week 4,20690,8418,7468,4804
week 4,20884,8542,7551,4791
week 4,27344,8966,12370,6008
week 4,20552,7041,8168,5343
week 4,26604,9413,10743,6448
week 4,33917,10216,15096,8605
week 4,27517,5556,13530,8431
week 5,31933,0,0,31933
week 5,30039,4581,9760,15698
week 5,9489,1505,1837,6147
week 5,11449,4250,4043,3156
week 5,14433,5220,5365,3848
week 5,18360,5727,8147,4486
week 5,21537,3947,9246,8344
week 6,21576,6334,9883,5359
week 6,16479,5280,6576,4623
week 6,23114,7155,9793,6166
week 6,30892,6069,16233,8590
week 6,28414,7379,13817,7218
week 6,27775,6126,14016,7633
week 6,26309,5500,13966,6843
week 7,23328,5559,11795,5974
week 7,16496,5086,6982,4428
week 7,22878,5354,8494,9030
week 7,26739,2059,1194,23486
week 7,26323,7855,10667,7801
week 7,25615,8457,10323,6835
week 7,24859,6088,11742,7029
week 8 ,11506,3347,4688,3471
week 8 ,20882,4762,11813,4307
week 8 ,28719,7150,13873,7696
week 8 ,27328,6915,12668,7745
week 8 ,29838,8063,14147,7628
week 8 ,21578,6017,7857,7704
week 8 ,26248,7853,10524,7871
week 9,30644,6879,15668,8097
week 9,30039,4581,9760,15698
week 9,31048,4688,14084,12276
week 9,32197,2556,6980,22661
week 9,27192,2711,5361,19120
week 9,19979,5085,6194,8700
week 9,26103,6592,8926,10585
week 10,31305,6698,12195,12412
week 10,31096,7260,11382,12454
week 10,29504,6612,10707,12185
week 10,28451,6632,9459,12360
week 10,27522,6422,9959,11141
week 10,18877,5135,5661,8081
week 10,23937,6695,7284,9958
week 11,28971,6693,10452,11826
week 11,27138,6134,10002,11002
week 11,27074,6704,9310,11060
week 11,30478,6743,11327,12408
week 11,26136,5129,9811,11196
week 11,23595,5499,7885,10211
week 11,54380,4930,27057,22393
week 12,63190,3848,32641,26701
week 12,59052,4640,30345,24067
week 12,60888,3301,32172,25415
week 12,59074,3606,31984,23484
week 12,53175,4052,26399,22724
week 12,32742,5317,13856,13569
week 12,40215,5779,17109,17327
week 13,52409,2624,24653,25132
week 13,43040,996,9685,32359
week 13,50931,3979,16514,30438
week 13,47192,5097,10986,31109
